PRDCT_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY,DAY_INTK_LOWLIMIT,DAY_INTK_HIGHLIMIT,INTK_UNIT,INTK_MEMO,SKLL_IX_IRDNT_RAWMTRL,CRET_DTM,LAST_UPDT_DTM
차전자피식이섬유,"(1) 반드시 충분한 물과 함께 섭취할 것(액상제외)
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 혈중 콜레스테롤 개선･배변활동 원활에 도움을 줄 수 있음,5,999999999,g,"혈중 콜레스테롤 개선에 도움을 줄 수 있음 : 차전자피 식이섬유로서 6.0 g 이상, 배변활동 원활에 도움을 줄 수 있음 : 차전자피 식이섬유로서 5.0 g 이상",식이섬유,20080626,20241223
알로에 겔,(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(1) 피부건강·장 건강·면역력 증진에 도움을 줄 수 있음,110,420,mg,"(24.12.23.) 섭취시주의사항, 일일섭취량 현행화 / '24 신뢰성 확보",총 다당체,20080626,20241223
영지버섯 자실체 추출물,,혈행 개선에 도움을 줄 수 있음,24,42,mg,,베타글루칸,20080626,20260714
프락토올리고당,"(가) 섭취 시 가스참, 트림, 복통, 복부팽만감 등이 발생할 수 있음
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 장내 유익균 증식 및 배변활동 원활에 도움을 줄 수 있음,3,8,g,,프락토올리고당,20080626,20241223
대두단백,(1) 대두단백에 알레르기를 나타내는 경우에는 섭취 주의,(1) 혈중 콜레스테롤 개선에 도움을 줄 수 있음,15,15,g,(24.12.23.) 일일섭취량 현행화 / '24 신뢰성 확보,조단백질,20080626,20241223
엽록소 함유 식물,(3) 섭취 시 주의사항 : 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"(1) 기능성 내용 : 피부건강･항산화에 도움을 줄 수 있음
(2) 일일섭취량 : 총엽록소로서 8~150 mg",8,150,mg,"(24.12.20.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",총엽록소,20080922,20241220
스피루리나,(3) 섭취 시 주의사항 : 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(1) 기능성 내용 : 항산화･혈중 콜레스테롤 개선에 도움을 줄 수 있음,10,80,mg,"(24.12.20.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",총엽록소,20080922,20241220
클로렐라,(3) 섭취 시 주의사항 : 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(1) 기능성 내용 : 피부건강･항산화･면역력 증진･혈중 콜레스테롤 개선에 도움을 줄 수 있음,8,150,mg,"(24.12.20.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",총엽록소,20080922,20241220
"글루코만난(곤약, 곤약만난)",반드시 충분한 물과 함께 섭취할 것 (액상제외),혈중 콜레스테롤 개선·배변활동 원활에 도움을 줄 수 있음,2.7,17,g,,글루코만난식이섬유,20080922,20200820
마늘,,혈중 콜레스테롤 개선·혈압조절에 도움을 줄 수 있음,0.6,1,g,(24.12.23.) 일일섭취량 현행화 / '24 신뢰성 확보,알리인(Alliin),20151027,20241223
홍경천 추출물,,스트레스로 인한 피로 개선에 도움을 줄 수 있음,200,600,mg,,로사빈(Rosavin),20160105,20200820
마리골드꽃추출물,"(가) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 흡연자는 섭취 시 전문가와 상담할 것
(다) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음,10,20,mg,"(24.12.23.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",루테인(Lutein),20180305,20241223
회화나무열매추출물,"(가) 어린이, 임산부, 수유부는 섭취에 주의
(나) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",(1) 갱년기 여성의 건강에 도움을 줄 수 있음,350,350,mg,(24.12.23.) 일일섭취량 현행화 / '24 신뢰성 확보,소포리코사이드(Sophoricoside),20190305,20241223
핑거루트추출분말(제2012-36호),,"(1) 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(생리활성기능 2등급)
(2) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)",600,600,mg/일,,Panduratin A,20191226,20210205
옻나무 추출분말(제2014-64호),,갱년기 남성의 건강에 도움을 줄 수 있음(생리활성기능 2등급),1,1,g,,Fustin,20191226,20201029
중쇄지방산(MCFA)함유 유지(제2014-6호),,이 제품은 중쇄지방산을 함유하고 있어 다른 식용유와 비교하였을 때 체지방 증가가 적을 수 있음 (생리활성기능 2등급),0,0,mg/g,,중쇄지방산(MCFA) 함유유지(기능성원료인정제2014-6호),20191226,20191226
보이차추출물(제2014-7호),"-카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음
-임산부, 수유여성, 어린이, 질병치료 중인 환자는 섭취에 주의","체지방 감소에 도움을 줄 수 있음, 혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)",1,1,g/일,보이차추출물(제2014-7호),Gallic acid,20191226,20201029
옥수수배아추출물(제2014-8호),"-영·유아, 임산부와 수유부는 섭취에 주의
-알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담",피부보습에 도움을 줄 수 있음(생리활성기능2등급),40,60,mg,,글루코실 세라마이드 (Glucosylceramide),20191226,20201029
올리브잎주정추출물(제2014-9호),"(1) 위, 간 및 신장 질환이 있거나 고혈압치료제 등 복용시 전문가와 상의할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 혈압 조절에 도움을 줄 수 있음
(영문) May help to maintain healthy blood pressure",500,1000,mg/일,,Oleuropein,20191226,20210630
감태추출물(제2015-6호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 요오드 함량이 높은 식품(해조류, 어패류 등)과 섭취 시 주의할 것
(5) 갑상선질환, 위장관 장애(질환) 등을 보유하고 있는 사람은 섭취를 주의할 것","(국문) ․수면의 질 개선에 도움을 줄 수 있음
       ․스트레스로 인한 긴장완화에 도움을 줄 수 있음
(영문) ․May help to improve sleep quality
       ․May help to relaxation of tension by stress",500,500,mg/일,,디엑콜(Dieckol),20191226,20260730
L.plantarum IM76과 B.longum IM55 복합물(NVP1703)(제2019-28호),"-질환이 있거나 의약품 복용 시 전문가와 상담할 것
-특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 면역과민반응에 의한 코상태 개선에 도움을 줄 수 있음
(영문) May help to improve nasal condition caused by hypersensitivity reaction",10000000000,10000000000,CFU,,프로바이오틱스 수,20191226,20210630
까마귀쪽나무 열매 주정추출물(제2015-22호),,관절건강에 도움을 줄 수 있음(생리활성기능 2등급),200,200,mg,,Hamabiwalactone B,20191226,20201029
까마귀쪽나무 열매 주정추출물(제2015-23호),,관절건강에 도움을 줄 수 있음(생리활성기능 2등급),200,200,mg,,Hamabiwalactone B,20191226,20201029
석류추출물(제2015-28호),"-임산부와 수유부는 섭취를 피하는 것이 좋습니다.
-항혈전제를 복용하시는 분은 의사와 상의하시기 바랍니다.
-에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다.","(국문) 갱년기 여성의 건강에 도움을 줄 수 있음
(영문) May help to menopausal womens health",1.5,1.5,g,,Ellagic acid,20191226,20210630
포도씨 효소분해 추출 분말(제2013-9호),,혈압이 높은 사람에게 도움을 줄 수 있음(생리활성기능 2등급),150,300,mg,,총 폴리페놀(갈릭산으로서),20191226,20201029
이눌린/치커리추출물,"(가) 임산부 및 수유부는 섭취를 피할 것
(나) 반드시 충분한 물과 함께 섭취할 것(액상제외)
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(1) 혈중 콜레스테롤 개선, 식후 혈당상승 억제·배변활동 원활에 도움을 줄 수 있음",6.4,20,g,(24.12.23.) 섭취시주의사항 현행화 / '24 신뢰성 확보,이눌린/치커리추출물 식이섬유,20080922,20241223
비타민 A,,"(1) 어두운 곳에서 시각 적응을 위해 필요
(2) 피부와 점막을 형성하고 기능을 유지하는데 필요
(3) 상피세포의 성장과 발달에 필요",210,1000,μg RAE,,,20080626,20240102
비타민 D,"(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(1) 칼슘과 인이 흡수되고 이용되는데 필요
(2) 뼈의 형성과 유지에 필요
(3) 골다공증발생 위험 감소에 도움을 줌",0.003,0.01,mg,일일섭취량 : 3~10 μg(120∼400 IU),,20080626,20241219
프로바이오틱스,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균 증식 및 유해균 억제･배변활동 원활･장 건강에 도움을 줄 수 있음,100000000,10000000000,CFU,21.7.11: 기능성 내용 변경,생균,20080626,20210709
구아바잎 추출물,,ⓛ 식후 혈당상승 억제에 도움을 줄 수 있음,120,120,mg,(24.12.20.) 일일섭취량 현행화 / '24 신뢰성 확보,총 폴리페놀,20121228,20241220
홍국,"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 간 질환이 있거나, 고지혈증 치료제 복용 시 섭취를 피할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 혈중 콜레스테롤 개선에 도움을 줄 수 있음,4,8,mg,,총 모나콜린 K,20080626,20241223
달맞이꽃종자 추출물,,① 식후 혈당상승 억제에 도움을 줄 수 있음,4,8.4,mg,,PGG(Penta-O-galloyl beta-D-glucose),20130102,20241220
